Zone,count_star()
Heartland Village/Todt Hill,32984
Parkchester,95735
Starrett City,48621
Rosedale,59327
Queens Village,90833
Coney Island,91761
Saint George/New Brighton,79050
West Brighton,25895
Prospect Park,20784
Dyker Heights,53894
Flushing Meadows-Corona Park,17037
Fresh Meadows,28599
Douglaston,17746
Battery Park,4877
Sunset Park East,79224
Springfield Gardens North,75050
Whitestone,43746
South Beach/Dongan Hills,26871
Queensboro Hill,42412
Arrochar/Fort Wadsworth,18317
North Corona,85981
Pelham Bay,44902
Westchester Village/Unionport,91960
Laurelton,61740
Oakwood,10946
Chinatown,77561
Financial District South,78515
Ozone Park,53583
Rossville/Woodrow,7699
Jamaica Estates,50812
Eltingville/Annadale/Prince's Bay,13078
Broad Channel,1592
Crotona Park East,97043
Kensington,67971
College Point,45615
Oakland Gardens,21145
Bath Beach,37664
Bensonhurst East,88709
Long Island City/Queens Plaza,88200
Riverdale/North Riverdale/Fieldston,54605
Elmhurst/Maspeth,66588
Seaport,73254
Brooklyn Navy Yard,27054
Arden Heights,8874
Hammels/Arverne,60130
Auburndale,27378
Forest Park/Highland Park,5042
Newark Airport,1967
Breezy Point/Fort Tilden/Riis Beach,3275
Governor's Island/Ellis Island/Liberty Island,15
Grymes Hill/Clifton,34087
Kew Gardens Hills,55920
Fordham South,87959
Manhattan Beach,37705
Stuy Town/Peter Cooper Village,76035
Maspeth,86138
Hollis,41153
East Flushing,35657
Columbia Street,17434
Red Hook,63851
Queensbridge/Ravenswood,54339
Westerleigh,24248
Marine Park/Floyd Bennett Field,3597
Highbridge Park,3562
Kew Gardens,69351
Longwood,89349
Rockaway Park,20321
Howard Beach,43633
Marble Hill,40959
Ocean Parkway South,36460
New Dorp/Midland Beach,18325
Windsor Terrace,46764
Hillcrest/Pomonok,73428
Springfield Gardens South,67027
Great Kills,19827
NA,29224
Middle Village,68615
Saint Michaels Cemetery/Woodside,11598
Gravesend,50684
Carroll Gardens,77408
Randalls Island,4666
Bloomingdale,73199
Inwood Hill Park,8946
Country Club,10359
Manhattanville,92691
Stapleton,62040
Rego Park,86447
Mariners Harbor,45156
Brighton Beach,73586
Allerton/Pelham Gardens,79215
Briarwood/Jamaica Hills,75421
Port Richmond,22581
Van Cortlandt Park,21890
Charleston/Tottenville,13161
Bay Terrace/Fort Totten,22942
City Island,7751
Freshkills Park,786
Murray Hill-Queens,63977
Far Rockaway,67363
East Elmhurst,80612
Bellerose,24387
Bloomfield/Emerson Hill,46395
Cambria Heights,37526
South Williamsburg,54575
Glendale,82119
Cobble Hill,47288
Madison,79662
Glen Oaks,24760
Willets Point,2213
Bayside,60399
Roosevelt Island,19644
Bronx Park,15643
Gowanus,64429
Crotona Park,5846
Green-Wood Cemetery,1550
Astoria Park,1396
Pelham Bay Park,7945
Great Kills Park,63
Rikers Island,14
Jamaica Bay,78
